No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
5148,NEXA,Nexa Resources S.A.,Basic Materials,Other Industrial Metals & Mining,Luxembourg,902.02M,6.71,6.70,0.75%,"42,520"
5149,NEXI,"NexImmune, Inc.",Healthcare,Biotechnology,USA,10.59M,-,0.41,11.95%,"102,487"
5150,NEXT,NextDecade Corporation,Energy,Oil & Gas E&P,USA,923.47M,-,6.87,-1.72%,"329,827"
5151,NFBK,"Northfield Bancorp, Inc. (Staten Island, NY)",Financial,Banks - Regional,USA,684.14M,11.00,14.47,-0.69%,"101,521"
5152,NFE,New Fortress Energy Inc.,Utilities,Utilities - Regulated Gas,USA,8.23B,30.74,40.11,0.85%,"588,534"
5153,NFG,National Fuel Gas Company,Energy,Oil & Gas Integrated,USA,5.27B,8.94,58.49,-0.51%,"375,164"
5154,NFGC,New Found Gold Corp.,Basic Materials,Gold,Canada,637.99M,-,3.64,0.55%,"90,876"
5155,NFJ,"Virtus Dividend, Interest & Premium Strategy Fund",Financial,Closed-End Fund - Equity,USA,1.19B,6.19,12.51,0.40%,"155,517"
5156,NFLT,Virtus Newfleet Multi-Sector Bond ETF,Financial,Exchange Traded Fund,USA,-,-,22.28,-0.11%,"18,306"
5157,NFLX,"Netflix, Inc.",Communication Services,Entertainment,USA,167.30B,39.39,359.96,0.39%,"4,580,835"
5158,NFRA,FlexShares STOXX Global Broad Infrastructure Index Fund,Financial,Exchange Traded Fund,USA,-,-,52.29,-0.17%,"65,725"
5159,NG,NovaGold Resources Inc.,Basic Materials,Gold,Canada,2.73B,-,6.04,0.17%,"840,116"
5160,NGD,New Gold Inc.,Basic Materials,Gold,Canada,680.09M,6.19,0.99,-0.90%,"2,623,804"
5162,NGG,National Grid plc,Utilities,Utilities - Diversified,United Kingdom,46.87B,13.22,64.23,0.78%,"290,839"
5163,NGL,NGL Energy Partners LP,Energy,Oil & Gas Refining & Marketing,USA,295.49M,-,2.75,2.61%,"2,911,785"
5164,NGM,"NGM Biopharmaceuticals, Inc.",Healthcare,Biotechnology,USA,407.73M,-,4.95,-3.13%,"244,284"
5165,NGMS,NeoGames S.A.,Consumer Cyclical,Gambling,Israel,381.47M,-,14.74,0.00%,"42,860"
5166,NGS,"Natural Gas Services Group, Inc.",Energy,Oil & Gas Equipment & Services,USA,136.47M,-,11.26,0.27%,"17,671"
5167,NGVC,"Natural Grocers by Vitamin Cottage, Inc.",Consumer Defensive,Grocery Stores,USA,229.43M,13.55,10.01,-0.20%,"26,419"
5168,NGVT,Ingevity Corporation,Basic Materials,Specialty Chemicals,USA,3.31B,15.44,89.69,0.93%,"336,662"
5169,NH,"NantHealth, Inc.",Healthcare,Health Information Services,USA,25.04M,-,3.17,-9.17%,"9,382"
5170,NHC,National HealthCare Corporation,Healthcare,Medical Care Facilities,USA,880.37M,28.47,58.77,0.00%,"30,646"
5171,NHI,"National Health Investors, Inc.",Real Estate,REIT - Healthcare Facilities,USA,2.43B,36.63,57.70,-0.57%,"177,269"
5172,NHS,Neuberger Berman High Yield Strategies Fund Inc.,Financial,Asset Management,USA,174.48M,5.88,9.06,-1.52%,"118,500"
5173,NHTC,Natural Health Trends Corp.,Consumer Cyclical,Internet Retail,Hong Kong,75.21M,246.30,6.65,9.38%,"196,750"
5174,NHWK,"NightHawk Biosciences, Inc.",Healthcare,Biotechnology,USA,27.56M,-,1.04,-0.15%,"30,690"
5175,NI,NiSource Inc.,Utilities,Utilities - Regulated Gas,USA,10.71B,17.50,26.93,-0.77%,"2,086,337"
5176,NIB,iPath Bloomberg Cocoa Subindex Total Return(SM) ETN,Financial,Exchange Traded Fund,USA,-,-,29.12,1.71%,"11,555"
5177,NIC,"Nicolet Bankshares, Inc.",Financial,Banks - Regional,USA,1.07B,11.27,73.85,-1.03%,"31,200"
5178,NICE,NICE Ltd.,Technology,Software - Application,Israel,14.18B,58.36,219.09,-0.67%,"262,003"
5179,NICK,"Nicholas Financial, Inc.",Financial,Credit Services,USA,54.39M,-,7.40,-1.33%,"3,326"
5180,NID,Nuveen Intermediate Duration Municipal Term Fund,Financial,Asset Management,USA,621.74M,9.14,13.25,-0.30%,"110,166"
5182,NIM,Nuveen Select Maturities Municipal Fund,Financial,Closed-End Fund - Debt,USA,117.78M,-,9.46,0.46%,"34,953"
5183,NIMC,NiSource Inc.,Utilities,Utilities - Regulated Gas,USA,10.92B,67.22,103.59,-0.85%,"13,187"
5184,NINE,"Nine Energy Service, Inc.",Energy,Oil & Gas Equipment & Services,USA,332.00M,-,11.03,1.01%,"856,032"
5185,NIO,NIO Inc.,Consumer Cyclical,Auto Manufacturers,China,17.49B,-,10.31,0.00%,"37,813,331"
5186,NIQ,Nuveen Intermediate Duration Quality Municipal Term Fund,Financial,Asset Management,USA,165.83M,19.48,12.66,-0.39%,"42,851"
5187,NISN,"Nisun International Enterprise Development Group Co., Ltd",Financial,Credit Services,China,23.99M,0.45,0.57,4.11%,"45,112"
5188,NIU,Niu Technologies,Consumer Cyclical,Auto Manufacturers,China,354.19M,83.93,4.70,0.64%,"495,440"
5189,NJAN,Innovator Growth-100 Power Buffer ETF - January,Financial,Exchange Traded Fund,USA,-,-,37.08,0.54%,"3,489"
5190,NJR,New Jersey Resources Corporation,Utilities,Utilities - Regulated Gas,USA,4.90B,17.69,51.12,-1.08%,"386,107"
5191,NJUL,Innovator Nasdaq 100 Power Buffer ETF - July,Financial,Exchange Traded Fund,USA,-,-,46.48,0.67%,"78,503"
5192,NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,USA,195.60B,35.64,126.20,0.84%,"4,843,251"
5193,NKG,Nuveen Georgia Quality Municipal Income Fund,Financial,Asset Management,USA,107.53M,24.62,10.34,-1.05%,"16,405"
5194,NKLA,Nikola Corporation,Industrials,Farm & Heavy Construction Machinery,USA,1.29B,-,2.51,0.00%,"12,703,218"
5195,NKSH,"National Bankshares, Inc.",Financial,Banks - Regional,USA,255.02M,9.95,43.15,-0.12%,"16,731"
5196,NKTR,Nektar Therapeutics,Healthcare,Biotechnology,USA,581.23M,-,3.02,-1.95%,"1,304,853"
5197,NKTX,"Nkarta, Inc.",Healthcare,Biotechnology,USA,257.60M,-,5.15,-0.48%,"354,160"
5198,NKX,Nuveen California AMT-Free Quality Municipal Income Fund,Financial,Asset Management,USA,582.12M,-,12.25,-0.81%,"64,731"
5199,NL,"NL Industries, Inc.",Industrials,Security & Protection Services,USA,349.94M,6.35,7.13,1.71%,"11,160"
5200,NLR,VanEck Uranium+Nuclear Energy ETF,Financial,Exchange Traded Fund,USA,-,-,57.84,0.37%,"2,316"
5202,NLSP,NLS Pharmaceutics AG,Healthcare,Biotechnology,Switzerland,44.25M,-,1.34,-2.90%,"24,127"
5203,NLTX,"Neoleukin Therapeutics, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,24.27M,-,0.58,-7.92%,"256,568"
5204,NLY,"Annaly Capital Management, Inc.",Real Estate,REIT - Mortgage,USA,10.21B,4.34,21.71,-1.00%,"5,080,412"
5205,NM,Navios Maritime Holdings Inc.,Industrials,Marine Shipping,Cayman Islands,48.70M,-,2.26,-3.83%,"118,320"
5206,NMCO,Nuveen Municipal Credit Opportunities Fund,Financial,Closed-End Fund - Debt,USA,640.87M,3.56,12.02,-1.96%,"105,279"
5207,NMFC,New Mountain Finance Corporation,Financial,Asset Management,USA,1.29B,11.83,12.78,-0.39%,"227,911"
5208,NMG,Nouveau Monde Graphite Inc.,Basic Materials,Other Industrial Metals & Mining,Canada,321.80M,-,5.76,1.59%,"102,578"
5209,NMI,"Nuveen Municipal Income Fund, Inc.",Financial,Closed-End Fund - Debt,USA,95.53M,-,9.65,0.73%,"17,903"
5210,NMIH,"NMI Holdings, Inc.",Financial,Insurance - Property & Casualty,USA,1.98B,7.31,23.68,0.59%,"313,177"
5211,NML,Neuberger Berman MLP and Energy Income Fund Inc.,Financial,Asset Management,USA,406.24M,2.71,7.17,-0.55%,"100,443"
5212,NMM,Navios Maritime Partners L.P.,Industrials,Marine Shipping,Monaco,838.17M,1.48,27.80,0.22%,"101,299"
5213,NMR,"Nomura Holdings, Inc.",Financial,Capital Markets,Japan,13.05B,14.32,4.08,0.00%,"2,179,942"
5214,NMRD,Nemaura Medical Inc.,Healthcare,Medical Devices,USA,36.09M,-,1.26,-2.33%,"17,086"
5215,NMRK,"Newmark Group, Inc.",Real Estate,Real Estate Services,USA,1.50B,7.60,8.79,-0.11%,"456,744"
5216,NMS,Nuveen Minnesota Quality Municipal Income Fund,Financial,Asset Management,USA,70.72M,18.24,12.22,-0.81%,"11,389"
5217,NMT,Nuveen Massachusetts Quality Municipal Income Fund,Financial,Closed-End Fund - Debt,USA,103.50M,20.94,11.10,-0.54%,"9,537"
5218,NMTC,NeuroOne Medical Technologies Corporation,Healthcare,Medical Devices,USA,24.60M,-,1.73,-16.02%,"57,331"
5219,NMTR,"9 Meters Biopharma, Inc.",Healthcare,Biotechnology,USA,29.15M,-,2.14,-0.93%,"29,615"
5220,NMZ,Nuveen Municipal High Income Opportunity Fund,Financial,Asset Management,USA,1.14B,5.34,10.78,-0.65%,"157,677"
5222,NNBR,"NN, Inc.",Industrials,Conglomerates,USA,97.87M,-,2.19,0.46%,"64,582"
5223,NNDM,Nano Dimension Ltd.,Technology,Computer Hardware,Israel,685.17M,-,2.63,2.73%,"1,761,216"
5224,NNI,"Nelnet, Inc.",Financial,Credit Services,USA,3.50B,7.14,94.70,-0.67%,"32,139"
5225,NNN,"National Retail Properties, Inc.",Real Estate,REIT - Retail,USA,8.20B,26.70,46.65,-1.08%,"775,030"
5226,NNOX,Nano-X Imaging Ltd.,Healthcare,Medical Devices,Israel,423.31M,-,7.88,-2.35%,"573,019"
5227,NNVC,"NanoViricides, Inc.",Healthcare,Biotechnology,USA,18.35M,-,1.55,12.16%,"181,525"
5228,NNY,Nuveen New York Municipal Value Fund,Financial,Closed-End Fund - Debt,USA,163.18M,-,8.62,-0.92%,"22,115"
5229,NOA,North American Construction Group Ltd.,Energy,Oil & Gas Equipment & Services,Canada,442.22M,11.56,15.56,0.19%,"26,878"
5230,NOAH,Noah Holdings Limited,Financial,Asset Management,China,1.39B,8.71,21.18,1.68%,"154,282"
5231,NOBL,ProShares S&P 500 Dividend Aristocrats ETF,Financial,Exchange Traded Fund,USA,-,-,92.91,-0.41%,"427,227"
5232,NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,USA,70.01B,14.84,467.51,0.70%,"1,248,802"
5233,NOCT,Innovator Growth-100 Power Buffer ETF - October,Financial,Exchange Traded Fund,USA,-,-,38.16,0.61%,"9,527"
5234,NODK,"NI Holdings, Inc.",Financial,Insurance - Property & Casualty,USA,289.58M,-,13.77,-0.22%,"7,732"
5235,NOG,"Northern Oil and Gas, Inc.",Energy,Oil & Gas E&P,USA,2.52B,3.82,34.33,0.91%,"999,925"
5236,NOGN,"Nogin, Inc.",Technology,Software - Application,USA,43.38M,-,0.65,-5.75%,"119,671"
5237,NOK,Nokia Oyj,Technology,Communication Equipment,Finland,26.38B,5.86,4.67,-0.21%,"14,327,737"
5238,NOM,Nuveen Missouri Quality Municipal Income Fund,Financial,Closed-End Fund - Equity,USA,25.05M,21.32,10.66,-0.19%,598
5239,NOMD,Nomad Foods Limited,Consumer Defensive,Packaged Foods,United Kingdom,3.09B,12.19,18.10,-0.88%,"459,489"
5240,NOPE,Noble Absolute Return ETF,Financial,Exchange Traded Fund,USA,-,-,10.15,-4.25%,"69,674"
5242,NOTE,"FiscalNote Holdings, Inc.",Technology,Information Technology Services,USA,437.12M,-,3.45,-1.71%,"227,934"
5243,NOTV,"Inotiv, Inc.",Healthcare,Diagnostics & Research,USA,191.47M,-,7.43,0.54%,"1,666,664"
5244,NOV,NOV Inc.,Energy,Oil & Gas Equipment & Services,USA,8.87B,60.26,23.56,-1.67%,"3,344,820"
5245,NOVA,Sunnova Energy International Inc.,Technology,Solar,USA,2.04B,-,17.53,-0.34%,"2,772,344"
5246,NOVN,"Novan, Inc.",Healthcare,Biotechnology,USA,37.70M,-,1.50,6.39%,"129,251"
5247,NOVT,Novanta Inc.,Technology,Scientific & Technical Instruments,USA,5.91B,81.03,163.84,0.40%,"76,756"
5248,NOW,"ServiceNow, Inc.",Technology,Software - Application,USA,94.20B,288.89,461.35,0.07%,"974,993"
5249,NPCE,"NeuroPace, Inc.",Healthcare,Medical Devices,USA,117.85M,-,4.75,6.03%,"13,683"
5250,NPFD,Nuveen Variable Rate Preferred & Income Fund,Financial,Asset Management,USA,458.39M,-,18.97,0.37%,"88,270"
5251,NPK,"National Presto Industries, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,514.58M,24.08,74.04,-0.01%,"21,685"
5252,NPO,"EnPro Industries, Inc.",Industrials,Specialty Industrial Machinery,USA,2.44B,14.53,116.15,0.16%,"62,097"
5253,NPV,Nuveen Virginia Quality Municipal Income Fund,Financial,Asset Management,USA,215.45M,17.94,12.02,-0.66%,"11,729"
5254,NQP,Nuveen Pennsylvania Quality Municipal Income Fund,Financial,Closed-End Fund - Debt,USA,432.15M,41.29,11.56,-0.43%,"52,012"
5255,NR,"Newpark Resources, Inc.",Energy,Oil & Gas Equipment & Services,USA,408.22M,-,4.61,-1.50%,"920,469"
5256,NRAC,Noble Rock Acquisition Corporation,Financial,Shell Companies,USA,306.98M,38.36,10.16,-0.29%,"5,047"
5257,NRACU,Noble Rock Acquisition Corporation,Financial,Shell Companies,USA,307.16M,27.74,10.18,-0.39%,101
5258,NRBO,"NeuroBo Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,14.85M,-,0.72,-0.22%,"547,790"
5259,NRC,National Research Corporation,Healthcare,Diagnostics & Research,USA,1.11B,32.19,44.29,-0.63%,"31,127"
5260,NRDS,"NerdWallet, Inc.",Financial,Credit Services,USA,1.07B,-,14.28,0.99%,"510,680"
5262,NREF,"NexPoint Real Estate Finance, Inc.",Real Estate,REIT - Diversified,USA,286.76M,12.41,19.13,-3.29%,"37,221"
5263,NRG,"NRG Energy, Inc.",Utilities,Utilities - Independent Power Producers,USA,7.98B,4.45,35.10,-1.29%,"3,459,478"
5264,NRGD,MicroSectors U.S. Big Oil Index -3X Inverse Leveraged ETNs,Financial,Exchange Traded Fund,USA,-,-,272.79,-1.25%,"60,253"
5265,NRGU,MicroSectors U.S. Big Oil Index 3X Leveraged ETNs,Financial,Exchange Traded Fund,USA,-,-,526.68,1.59%,"57,510"
5266,NRGV,"Energy Vault Holdings, Inc.",Utilities,Utilities - Renewable,USA,526.32M,-,3.76,3.87%,"807,458"
5267,NRGX,PIMCO Energy and Tactical Credit Opportunities Fund,Financial,Asset Management,USA,707.71M,9.05,15.83,-0.31%,"55,939"
5268,NRIM,"Northrim BanCorp, Inc.",Financial,Banks - Regional,USA,303.21M,10.14,53.57,-0.98%,"16,710"
5269,NRIX,"Nurix Therapeutics, Inc.",Healthcare,Biotechnology,USA,492.22M,-,10.83,-1.63%,"261,685"
5270,NRK,Nuveen New York AMT-Free Quality Municipal Income Fund,Financial,Asset Management,USA,933.42M,-,10.70,-1.29%,"94,165"
5271,NRO,Neuberger Berman Real Estate Securities Income Fund Inc.,Financial,Asset Management,USA,171.79M,51.71,3.62,-0.96%,"71,757"
5272,NRP,Natural Resource Partners L.P.,Energy,Thermal Coal,USA,685.73M,3.73,54.08,1.14%,"11,670"
5273,NRSN,NeuroSense Therapeutics Ltd.,Healthcare,Biotechnology,Israel,19.99M,-,1.66,-1.44%,"39,726"
5274,NRT,North European Oil Royalty Trust,Energy,Oil & Gas Equipment & Services,USA,138.77M,8.11,15.10,8.79%,"407,168"
5275,NRXP,"NRx Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,74.45M,-,1.09,-4.39%,"124,300"
5276,NS,NuStar Energy L.P.,Energy,Oil & Gas Midstream,USA,1.86B,46.00,17.02,-1.33%,"365,764"
5277,NSA,National Storage Affiliates Trust,Real Estate,REIT - Industrial,USA,3.75B,43.03,40.96,-1.47%,"701,722"
5278,NSC,Norfolk Southern Corporation,Industrials,Railroads,USA,52.79B,16.95,235.28,-1.85%,"2,881,675"
5279,NSIT,"Insight Enterprises, Inc.",Technology,Information Technology Services,USA,4.36B,16.49,126.35,-0.01%,"194,126"
5280,NSL,Nuveen Senior Income Fund,Financial,Closed-End Fund - Debt,USA,189.97M,10.04,4.92,-0.61%,"34,949"
5282,NSPR,"InspireMD, Inc.",Healthcare,Medical Devices,Israel,10.70M,-,1.30,6.23%,"22,602"
5283,NSSC,"Napco Security Technologies, Inc.",Industrials,Security & Protection Services,USA,1.18B,46.22,32.12,-3.89%,"386,695"
5284,NSTB,Northern Star Investment Corp. II,Financial,Shell Companies,USA,120.70M,20.70,10.00,0.00%,0
5285,NSTC,Northern Star Investment Corp. III,Financial,Shell Companies,USA,507.51M,30.24,10.13,-0.10%,"52,508"
5286,NSTD,Northern Star Investment Corp. IV,Financial,Shell Companies,USA,507.20M,34.26,10.14,0.10%,"63,417"
5287,NSTG,"NanoString Technologies, Inc.",Healthcare,Biotechnology,USA,547.32M,-,11.36,0.80%,"345,410"
5288,NSYS,Nortech Systems Incorporated,Technology,Electronic Components,USA,41.07M,5.75,14.72,-4.79%,"9,365"
5289,NTAP,"NetApp, Inc.",Technology,Computer Hardware,USA,14.52B,10.27,67.72,0.00%,"1,580,028"
5290,NTB,The Bank of N.T. Butterfield & Son Limited,Financial,Banks - Diversified,Bermuda,1.93B,9.76,37.74,14.57%,"336,885"
5291,NTCO,Natura &Co Holding S.A.,Consumer Defensive,Household & Personal Products,Brazil,3.85B,30.67,5.52,-1.43%,"467,353"
5292,NTCT,"NetScout Systems, Inc.",Technology,Software - Infrastructure,USA,2.18B,40.47,30.23,-0.43%,"322,493"
5293,NTES,"NetEase, Inc.",Communication Services,Internet Content & Information,China,58.63B,18.13,86.76,-1.25%,"1,018,330"
5294,NTG,"Tortoise Midstream Energy Fund, Inc.",Financial,Closed-End Fund - Equity,USA,213.36M,3.10,37.81,0.40%,"9,959"
5295,NTGR,"NETGEAR, Inc.",Technology,Communication Equipment,USA,552.86M,-,19.17,-1.44%,"102,105"
5296,NTIC,Northern Technologies International Corporation,Basic Materials,Specialty Chemicals,USA,119.65M,52.72,12.81,-1.46%,427
5297,NTIP,"Network-1 Technologies, Inc.",Technology,Communication Equipment,USA,54.95M,-,2.23,2.76%,"8,073"
5298,NTLA,"Intellia Therapeutics, Inc.",Healthcare,Biotechnology,USA,3.49B,-,40.78,-1.31%,"870,317"
5299,NTNX,"Nutanix, Inc.",Technology,Software - Infrastructure,USA,6.85B,-,29.37,2.69%,"1,472,763"
5300,NTR,Nutrien Ltd.,Basic Materials,Agricultural Inputs,Canada,52.92B,4.07,76.97,-2.11%,"2,978,501"
5302,NTRB,Nutriband Inc.,Healthcare,Biotechnology,USA,32.24M,-,4.04,-3.12%,"7,271"
5303,NTRS,Northern Trust Corporation,Financial,Asset Management,USA,20.24B,15.85,97.33,-1.74%,"924,789"
5304,NTST,NETSTREIT Corp.,Real Estate,REIT - Retail,USA,1.04B,124.14,19.49,-1.32%,"306,120"
5305,NTSX,WisdomTree U.S. Efficient Core Fund,Financial,Exchange Traded Fund,USA,-,-,34.91,-0.17%,"75,334"
5306,NTWK,"NetSol Technologies, Inc.",Technology,Software - Application,USA,33.67M,-,2.91,-1.36%,"26,420"
5307,NTZ,Natuzzi S.p.A.,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Italy,66.27M,9.33,6.03,-8.64%,"11,360"
5308,NU,Nu Holdings Ltd.,Financial,Banks - Diversified,Brazil,23.62B,-,5.00,2.67%,"52,207,971"
5309,NUAG,Nuveen Enhanced Yield U.S. Aggregate Bond ETF,Financial,Exchange Traded Fund,USA,4.43B,-,20.81,-0.24%,707
5310,NUBD,Nuveen ESG U.S. Aggregate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,22.04,-0.23%,"44,274"
5311,NUDM,Nuveen ESG International Developed Markets Equity ETF,Financial,Exchange Traded Fund,USA,-,-,28.16,-0.04%,"23,335"
5312,NUE,Nucor Corporation,Basic Materials,Steel,USA,43.80B,5.12,171.26,2.18%,"1,877,865"
5313,NUEM,Nuveen ESG Emerging Markets Equity ETF,Financial,Exchange Traded Fund,USA,-,-,27.38,0.00%,"28,073"
5314,NUGO,Nuveen Growth Opportunities ETF,Financial,Exchange Traded Fund,USA,-,-,19.40,0.62%,"1,978"
5315,NUGT,Direxion Daily Gold Miners Index Bull 2X Shares,Financial,Exchange Traded Fund,USA,-,-,36.00,-0.19%,"2,243,873"
5316,NUHY,Nuveen ESG High Yield Corporate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,20.63,0.19%,"8,478"
5317,NULC,Nuveen ESG Large-Cap ETF,Financial,Exchange Traded Fund,USA,-,-,34.56,0.29%,22
5318,NULG,Nuveen ESG Large-Cap Growth ETF,Financial,Exchange Traded Fund,USA,-,-,55.16,0.88%,"46,288"
5319,NULV,Nuveen ESG Large-Cap Value ETF,Financial,Exchange Traded Fund,USA,-,-,35.36,-0.45%,"877,156"
5320,NUMG,Nuveen ESG Mid-Cap Growth ETF,Financial,Exchange Traded Fund,USA,-,-,39.27,0.49%,"40,476"
5322,NUO,Nuveen Ohio Quality Municipal Income Fund,Financial,Asset Management,USA,238.77M,-,13.08,-0.30%,"25,929"
5323,NURE,Nuveen Short-Term REIT ETF,Financial,Exchange Traded Fund,USA,-,-,32.15,-0.19%,"5,572"
5324,NURO,"NeuroMetrix, Inc.",Healthcare,Medical Instruments & Supplies,USA,13.89M,-,1.79,1.70%,"17,934"
5325,NUS,"Nu Skin Enterprises, Inc.",Consumer Defensive,Household & Personal Products,USA,2.17B,58.62,43.32,-0.96%,"315,649"
5326,NUSA,Nuveen Enhanced Yield 1-5 Year U.S. Aggregate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,22.83,-0.20%,"5,064"
5327,NUSC,Nuveen ESG Small-Cap ETF,Financial,Exchange Traded Fund,USA,-,-,38.17,0.29%,"118,016"
5328,NUSI,Nationwide Nasdaq-100 Risk-Managed Income ETF,Financial,Exchange Traded Fund,USA,-,-,19.52,0.77%,"107,089"
5329,NUTX,Nutex Health Inc.,Healthcare,Health Information Services,USA,780.38M,-,1.26,-0.79%,"658,413"
5330,NUV,"Nuveen Municipal Value Fund, Inc.",Financial,Closed-End Fund - Debt,USA,1.85B,-,8.91,-1.66%,"482,785"
5331,NUVA,"NuVasive, Inc.",Healthcare,Medical Devices,USA,2.46B,-,44.52,0.63%,"1,765,113"
5332,NUVB,Nuvation Bio Inc.,Healthcare,Biotechnology,USA,496.48M,-,2.22,2.78%,"456,869"
5333,NUVL,"Nuvalent, Inc.",Healthcare,Biotechnology,USA,1.67B,-,30.48,-3.12%,"308,980"
5334,NUW,Nuveen AMT-Free Municipal Value Fund,Financial,Asset Management,USA,253.65M,14.27,14.13,-2.15%,"30,210"
5335,NUWE,"Nuwellis, Inc.",Healthcare,Medical Devices,USA,3.99M,-,7.67,-11.23%,"173,309"
5336,NUZE,"NuZee, Inc.",Consumer Defensive,Packaged Foods,USA,9.60M,-,14.55,28.45%,"148,036"
5337,NVAX,"Novavax, Inc.",Healthcare,Biotechnology,USA,835.31M,-,9.93,1.53%,"5,511,192"
5338,NVBT,AIM ETF Products Trust AllianzI,Financial,Exchange Traded Fund,USA,-,-,26.66,0.12%,"1,152"
5339,NVBW,AIM ETF Products Trust AllianzI,Financial,Exchange Traded Fund,USA,-,-,26.31,0.19%,325
5340,NVCN,Neovasc Inc.,Healthcare,Medical Devices,Canada,105.56M,-,28.53,0.46%,"32,125"
5342,NVCT,"Nuvectis Pharma, Inc.",Healthcare,Biotechnology,USA,128.93M,-,10.70,-9.70%,"113,132"
5343,NVDA,NVIDIA Corporation,Technology,Semiconductors,USA,593.57B,97.71,229.71,5.43%,"67,249,235"
5344,NVDS,AXS 1.25X NVDA Bear Daily ETF,Financial,Exchange Traded Fund,USA,-,-,21.28,-6.79%,"1,058,945"
5345,NVEC,NVE Corporation,Technology,Semiconductors,USA,356.17M,19.99,75.62,0.07%,"34,506"
5346,NVEE,"NV5 Global, Inc.",Industrials,Engineering & Construction,USA,2.00B,33.49,126.29,-2.27%,"89,661"
5347,NVEI,Nuvei Corporation,Technology,Software - Infrastructure,Canada,6.21B,59.60,32.84,0.06%,"268,616"
5348,NVFY,"Nova LifeStyle, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,6.30M,-,0.97,-7.55%,"55,645"
5349,NVG,Nuveen AMT-Free Municipal Credit Income Fund,Financial,Asset Management,USA,2.65B,8.73,12.39,-0.48%,"448,552"
5350,NVGS,Navigator Holdings Ltd.,Energy,Oil & Gas Midstream,United Kingdom,1.02B,391.47,13.31,-0.45%,"113,798"
5351,NVIV,InVivo Therapeutics Holdings Corp.,Healthcare,Biotechnology,USA,4.14M,-,2.18,3.81%,"182,136"
5352,NVMI,Nova Ltd.,Technology,Semiconductor Equipment & Materials,Israel,2.68B,22.80,91.12,0.53%,"104,224"
5353,NVNO,enVVeno Medical Corporation,Healthcare,Medical Devices,USA,57.54M,-,6.05,-0.17%,"9,503"
5354,NVO,Novo Nordisk A/S,Healthcare,Drug Manufacturers - General,Denmark,248.62B,40.73,142.95,-0.03%,"883,830"
5355,NVOS,"Novo Integrated Sciences, Inc.",Healthcare,Medical Care Facilities,USA,6.83M,-,0.11,3.55%,"18,841,164"
5356,NVR,"NVR, Inc.",Consumer Cyclical,Residential Construction,USA,16.38B,10.40,5119.91,-1.54%,"20,456"
5357,NVRO,Nevro Corp.,Healthcare,Medical Devices,USA,1.30B,-,36.57,0.66%,"575,318"
5358,NVS,Novartis AG,Healthcare,Drug Manufacturers - General,Switzerland,211.66B,27.71,87.55,0.07%,"1,704,646"
5359,NVSA,New Vista Acquisition Corp,Financial,Shell Companies,USA,351.10M,42.18,10.16,0.35%,"90,923"
5360,NVSAU,New Vista Acquisition Corp,Financial,Shell Companies,USA,347.10M,33.58,10.14,-0.29%,278
5362,NVT,nVent Electric plc,Industrials,Electrical Equipment & Parts,United Kingdom,7.60B,19.20,45.59,0.53%,"1,064,085"
5363,NVTA,Invitae Corporation,Healthcare,Diagnostics & Research,USA,518.46M,-,2.00,-2.91%,"9,068,901"
5364,NVTS,Navitas Semiconductor Corporation,Technology,Semiconductors,USA,873.49M,-,5.65,6.20%,"1,015,963"
5365,NVVE,Nuvve Holding Corp.,Consumer Cyclical,Specialty Retail,USA,28.90M,-,1.14,5.56%,"204,956"
5366,NVX,Novonix Limited,Industrials,Electrical Equipment & Parts,Australia,575.38M,-,4.72,5.12%,"43,169"
5367,NWBI,"Northwest Bancshares, Inc.",Financial,Banks - Regional,USA,1.77B,13.90,14.11,-0.70%,"465,725"
5368,NWE,NorthWestern Corporation,Utilities,Utilities - Diversified,USA,3.18B,18.43,56.41,-0.81%,"384,964"
5369,NWFL,Norwood Financial Corp.,Financial,Banks - Regional,USA,278.68M,9.54,34.11,-0.15%,"7,957"
5370,NWG,NatWest Group plc,Financial,Banks - Diversified,United Kingdom,36.36B,12.09,7.59,1.07%,"1,955,272"
5371,NWL,Newell Brands Inc.,Consumer Defensive,Household & Personal Products,USA,6.09B,11.11,14.90,0.95%,"6,128,062"
5372,NWLI,"National Western Life Group, Inc.",Financial,Insurance - Life,USA,964.56M,8.27,267.19,-0.06%,"4,048"
5373,NWN,Northwest Natural Holding Company,Utilities,Utilities - Regulated Gas,USA,1.65B,18.51,48.17,-1.57%,"133,317"
5374,NWPX,Northwest Pipe Company,Industrials,Metal Fabrication,USA,383.95M,15.27,38.94,-0.28%,"40,576"
5375,NWS,News Corporation,Communication Services,Broadcasting,USA,10.89B,24.08,19.02,-0.05%,"1,355,936"
