No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
2703,FEUZ,First Trust Eurozone AlphaDEX ETF,Financial,Exchange Traded Fund,USA,-,-,39.80,0.82%,807
2704,FEX,First Trust Large Cap Core AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,85.56,-0.19%,"28,787"
2705,FEZ,SPDR EURO STOXX 50 ETF,Financial,Exchange Traded Fund,USA,-,-,43.89,0.41%,"2,656,201"
2706,FF,FutureFuel Corp.,Basic Materials,Chemicals,USA,391.72M,17.47,9.03,0.11%,"153,039"
2707,FFA,First Trust Enhanced Equity Income Fund,Financial,Closed-End Fund - Equity,USA,341.60M,3.93,17.09,-0.35%,"21,114"
2708,FFBC,First Financial Bancorp.,Financial,Banks - Regional,USA,2.39B,10.99,25.28,-1.37%,"184,042"
2709,FFBW,"FFBW, Inc.",Financial,Banks - Regional,USA,65.93M,31.99,11.90,1.02%,"292,274"
2710,FFC,Flaherty & Crumrine Preferred Securities Income Fund Inc.,Financial,Closed-End Fund - Debt,USA,813.75M,10.21,17.05,0.18%,"124,745"
2711,FFEB,FT Cboe Vest US Eq Buffer ETF - February,Financial,Exchange Traded Fund,USA,-,-,37.04,0.05%,"28,056"
2712,FFHG,FormulaFolios Hedged Growth ETF,Financial,Exchange Traded Fund,USA,-,-,32.95,-0.06%,601
2713,FFIC,Flushing Financial Corporation,Financial,Banks - Regional,USA,580.94M,7.85,19.58,-1.56%,"64,417"
2714,FFIE,Faraday Future Intelligent Electric Inc.,Consumer Cyclical,Auto Manufacturers,USA,482.61M,-,0.68,-5.06%,"46,385,801"
2715,FFIN,"First Financial Bankshares, Inc.",Financial,Banks - Regional,USA,5.38B,22.94,37.58,-0.19%,"333,923"
2716,FFIV,"F5, Inc.",Technology,Software - Infrastructure,USA,8.88B,29.64,147.23,0.18%,"529,134"
2717,FFNW,"First Financial Northwest, Inc.",Financial,Banks - Regional,USA,139.11M,11.83,15.32,-0.33%,"2,549"
2718,FFSG,FormulaFolios Smart Growth ETF,Financial,Exchange Traded Fund,USA,-,-,32.45,0.05%,405
2719,FFTG,FormulaFolios Tactical Growth ETF,Financial,Exchange Traded Fund,USA,-,-,24.78,0.28%,"1,297"
2720,FFTI,FormulaFolios Tactical Income ETF,Financial,Exchange Traded Fund,USA,-,-,20.56,-0.18%,"2,802"
2722,FFWM,First Foundation Inc.,Financial,Banks - Regional,USA,880.92M,7.92,15.49,-0.64%,"203,400"
2723,FG,"F&G Annuities & Life, Inc.",Financial,Insurance - Life,USA,2.64B,3.44,22.99,-1.50%,"267,272"
2724,FGB,First Trust Specialty Finance and Financial Opportunities Fund,Financial,Closed-End Fund - Equity,USA,48.13M,47.86,3.35,-0.30%,"15,736"
2725,FGBI,"First Guaranty Bancshares, Inc.",Financial,Banks - Regional,USA,233.27M,8.78,21.76,-1.05%,"4,783"
2726,FGD,First Trust Dow Jones Global Select Dividend Index Fund,Financial,Exchange Traded Fund,USA,-,-,23.40,0.04%,"111,789"
2727,FGEN,"FibroGen, Inc.",Healthcare,Biotechnology,USA,2.33B,-,24.56,0.04%,"909,194"
